last.name,first.name,state,district,party,gender,nameid,icpsr.id,missingVotes,idealPoint,lo,up,label
Posey,Bill,Florida,8,R,M,P000599,NA,7,0.712264475,0.583680311,0.837510225,Posey (R FL-8)
Price,David,North Carolina,4,D,M,P000523,15437,5,-1.135110114,-1.314086257,-0.987265361,Price (D NC-4)
Price,Tom,Georgia,6,R,M,P000591,20505,12,1.173567244,0.978381681,1.37918261,Price (R GA-6)
Quigley,Mike,Illinois,5,D,M,Q000023,NA,27,-1.095746243,-1.247586825,-0.930362293,Quigley (D IL-5)
Radel,Trey,Florida,19,R,M,R000596,NA,190,0.977259193,0.818780023,1.150274135,Radel (R FL-19)
Rahall II,Nick,West Virginia,3,D,M,R000011,14448,8,-0.338781349,-0.416409091,-0.269588415,Rahall II (D WV-3)
Rangel,Charles,New York,13,D,M,R000053,13035,59,-1.089137029,-1.25309442,-0.922276587,Rangel (D NY-13)
Reed,Tom,New York,23,R,M,R000585,NA,30,0.535980975,0.435984538,0.642157439,Reed (R NY-23)
Reichert,Dave,Washington,8,R,M,R000578,20536,6,0.442504249,0.34458854,0.527249032,Reichert (R WA-8)
Renacci,Jim,Ohio,16,R,M,R000586,NA,6,0.822158585,0.678249339,0.96290364,Renacci (R OH-16)
Ribble,Reid,Wisconsin,8,R,M,R000587,NA,18,1.125266589,0.92958319,1.3142278,Ribble (R WI-8)
Rice,Tom,South Carolina,7,R,M,R000597,NA,25,0.920700239,0.771156253,1.083605917,Rice (R SC-7)
Richmond,Cedric,Louisiana,2,D,M,R000588,NA,76,-0.79035598,-0.905162043,-0.684915595,Richmond (D LA-2)
Rigell,Scott,Virginia,2,R,M,R000589,NA,13,0.729982358,0.60292194,0.853627684,Rigell (R VA-2)
Roby,Martha,Alabama,2,R,F,R000591,NA,10,0.817614743,0.684376463,0.955827598,Roby (R AL-2)
Roe,Phil,Tennessee,1,R,M,R000582,NA,13,0.935298269,0.78389554,1.097627699,Roe (R TN-1)
Rogers,Mike,Alabama,3,R,M,R000575,20301,31,0.811821198,0.672492908,0.951628132,Rogers (R AL-3)
Rogers,Harold,Kentucky,5,R,M,R000395,14854,32,0.671645229,0.546974836,0.794112149,Rogers (R KY-5)
Rogers,Mike,Michigan,8,R,M,R000572,20120,47,0.843667427,0.69509296,0.995850883,Rogers (R MI-8)
Rohrabacher,Dana,California,48,R,M,R000409,15624,70,0.680608657,0.569704203,0.807098547,Rohrabacher (R CA-48)
Rokita,Todd,Indiana,4,R,M,R000592,NA,51,1.133000399,0.948705183,1.327491787,Rokita (R IN-4)
Rooney,Tom,Florida,17,R,M,R000583,NA,18,0.709459829,0.587725191,0.835358211,Rooney (R FL-17)
Ros-Lehtinen,Ileana,Florida,27,R,F,R000435,15637,41,0.537391419,0.440114945,0.653369173,Ros-Lehtinen (R FL-27)
Roskam,Peter,Illinois,6,R,M,R000580,20715,14,0.821864549,0.68602047,0.96607258,Roskam (R IL-6)
Ross,Dennis,Florida,15,R,M,R000593,NA,9,1.046906338,0.875305007,1.226016737,Ross (R FL-15)
Rothfus,Keith,Pennsylvania,12,R,M,R000598,NA,4,0.969164293,0.801701949,1.13777641,Rothfus (R PA-12)
Roybal-Allard,Lucille,California,40,D,F,R000486,29317,30,-1.593668311,-1.874688285,-1.305888669,Roybal-Allard (D CA-40)
Royce,Ed,California,39,R,M,R000487,29321,20,0.994184529,0.827340235,1.161424285,Royce (R CA-39)
Ruiz,Raul,California,36,D,M,R000599,NA,29,-0.498432854,-0.58575041,-0.417884304,Ruiz (D CA-36)
Runyan,Jon,New Jersey,3,R,M,R000594,NA,43,0.446162759,0.351343188,0.5408993,Runyan (R NJ-3)
Ruppersberger,C.A. Dutch,Maryland,2,D,M,R000576,20329,57,-0.820338215,-0.934987567,-0.70353911,Ruppersberger (D MD-2)
Rush,Bobby,Illinois,1,D,M,R000515,29346,342,-1.228959741,-1.443578273,-1.018342082,Rush (D IL-1)
Ryan,Tim,Ohio,13,D,M,R000577,20343,23,-0.787883731,-0.895786694,-0.679039713,Ryan (D OH-13)
Ryan,Paul,Wisconsin,1,R,M,R000570,29939,6,0.950362265,0.793061015,1.105256034,Ryan (R WI-1)
Salmon,Matt,Arizona,5,R,M,S000018,29500,27,0.878464992,0.726343013,1.026197111,Salmon (R AZ-5)
Sanchez,Linda,California,38,D,F,S001156,20310,23,-1.623045829,-1.904341225,-1.356564994,Sanchez (D CA-38)
Sanchez,Loretta,California,46,D,F,S000030,29709,68,-0.837321628,-0.961658058,-0.725392543,Sanchez (D CA-46)
Sanford,Mark,South Carolina,1,R,M,S000051,29565,160,0.658709686,0.538674002,0.782284181,Sanford (R SC-1)
Sarbanes,John,Maryland,3,D,M,S001168,20724,31,-1.481440713,-1.734661618,-1.221993393,Sarbanes (D MD-3)
Scalise,Steve,Louisiana,1,R,M,S001176,NA,18,1.131531375,0.941029259,1.334268798,Scalise (R LA-1)
Schakowsky,Jan,Illinois,9,D,F,S001145,29911,19,-2.23139252,-2.613547033,-1.802023072,Schakowsky (D IL-9)
Schiff,Adam,California,28,D,M,S001150,20104,14,-1.119016315,-1.2741836,-0.940428176,Schiff (D CA-28)
Schneider,Brad,Illinois,10,D,M,S001190,NA,26,-0.553639232,-0.64218346,-0.46069539,Schneider (D IL-10)
Schock,Aaron,Illinois,18,R,M,S001179,NA,47,0.668893987,0.55066565,0.799379973,Schock (R IL-18)
Schrader,Kurt,Oregon,5,D,M,S001180,NA,14,-0.397104804,-0.47109891,-0.318035189,Schrader (D OR-5)
