last.name,first.name,state,district,party,gender,nameid,icpsr.id,missingVotes,idealPoint,lo,up,label
Broun,Paul,Georgia,10,R,M,B001262,20753,31,0.66364755,0.547336419,0.777220888,Broun (R GA-10)
Brown,Corrine,Florida,5,D,F,B000911,29328,51,-1.059452225,-1.21254363,-0.898273112,Brown (D FL-5)
Brownley,Julia,California,26,D,F,B001285,NA,8,-0.770087633,-0.879062904,-0.660240782,Brownley (D CA-26)
Buchanan,Vern,Florida,16,R,M,B001260,20709,42,0.693322724,0.564148716,0.809951522,Buchanan (R FL-16)
Bucshon,Larry,Indiana,8,R,M,B001275,NA,16,1.028631352,0.864097709,1.224187798,Bucshon (R IN-8)
Burgess,Michael,Texas,26,R,M,B001248,20355,21,1.031043067,0.858400509,1.197776909,Burgess (R TX-26)
Bustos,Cheri,Illinois,17,D,F,B001286,NA,23,-0.538921084,-0.624213824,-0.456985742,Bustos (D IL-17)
Butterfield,G.,North Carolina,1,D,M,B001251,20340,49,-0.956376328,-1.092084886,-0.817826003,Butterfield (D NC-1)
Byrne,Bradley,Alabama,1,R,M,B001289,,643,1.004270344,0.556027751,1.532597825,Byrne (R AL-1)
Calvert,Ken,California,42,R,M,C000059,29323,14,0.684189389,0.560668181,0.80842182,Calvert (R CA-42)
Camp,Dave,Michigan,4,R,M,C000071,15808,15,0.821818251,0.676848029,0.961000054,Camp (R MI-4)
Campbell,John,California,45,R,M,C001064,20539,354,1.13365992,0.912525571,1.377166376,Campbell (R CA-45)
Cantor,Eric,Virginia,7,R,M,C001046,20144,28,0.945165806,0.781587362,1.103076441,Cantor (R VA-7)
Capito,Shelley,West Virginia,2,R,F,C001047,20146,5,0.622947993,0.514031426,0.738830686,Capito (R WV-2)
Capps,Lois,California,24,D,F,C001036,29774,13,-1.066542149,-1.209588473,-0.898828129,Capps (D CA-24)
Capuano,Michael,Massachusetts,7,D,M,C001037,29919,30,-1.339315483,-1.548571158,-1.143723892,Capuano (D MA-7)
Cardenas,Tony,California,29,D,M,C001097,NA,61,-0.881156203,-1.014504,-0.760887516,Cardenas (D CA-29)
Carney,John,Delaware,1,D,M,C001083,NA,14,-0.789752058,-0.895463709,-0.679268913,Carney (D DE-1)
Carson,Andre,Indiana,7,D,M,C001072,NA,15,-0.959166591,-1.090632176,-0.832068066,Carson (D IN-7)
Carter,John,Texas,31,R,M,C001051,20356,44,0.841295434,0.706996088,0.996895273,Carter (R TX-31)
Cartwright,Matt,Pennsylvania,17,D,M,C001090,NA,9,-1.274358622,-1.477039477,-1.084778603,Cartwright (D PA-17)
Cassidy,Bill,Louisiana,6,R,M,C001075,NA,29,0.771150374,0.633610899,0.896807442,Cassidy (R LA-6)
Castor,Kathy,Florida,14,D,F,C001066,20708,42,-1.171568658,-1.351454729,-0.99817007,Castor (D FL-14)
Castro,Joaquin,Texas,20,D,M,C001091,NA,41,-0.935891906,-1.07534654,-0.807342621,Castro (D TX-20)
Chabot,Steven,Ohio,1,R,M,C000266,29550,4,1.25991314,1.064441142,1.493434582,Chabot (R OH-1)
Chaffetz,Jason,Utah,3,R,M,C001076,NA,52,0.90847004,0.759028993,1.065913771,Chaffetz (R UT-3)
Chu,Judy,California,27,D,F,C001080,NA,40,-1.591700426,-1.876042366,-1.319752908,Chu (D CA-27)
Cicilline,David,Rhode Island,1,D,M,C001084,NA,23,-1.230328276,-1.420366032,-1.033504452,Cicilline (D RI-1)
Clark,Katherine,Massachusetts,5,D,F,C001101,,638,-1.702928763,-2.482450566,-0.935345442,Clark (D MA-5)
Clarke,Yvette,New York,9,D,F,C001067,20733,39,-1.469183125,-1.704633806,-1.225968828,Clarke (D NY-9)
Clay,William,Missouri,1,D,M,C001049,20147,40,-1.061552305,-1.228659702,-0.911393267,Clay (D MO-1)
Cleaver II,Emanuel,Missouri,5,D,M,C001061,20517,78,-0.996605236,-1.14226607,-0.86360545,Cleaver II (D MO-5)
Clyburn,James,South Carolina,6,D,M,C000537,39301,59,-0.932876086,-1.063187926,-0.800432725,Clyburn (D SC-6)
Coble,Howard,North Carolina,6,R,M,C000556,15209,106,0.823244922,0.665651835,0.96332306,Coble (R NC-6)
Coffman,Mike,Colorado,6,R,M,C001077,NA,8,0.708161906,0.582307392,0.834896919,Coffman (R CO-6)
Cohen,Steve,Tennessee,9,D,M,C001068,20748,23,-1.433381474,-1.672041005,-1.21415724,Cohen (D TN-9)
Cole,Tom,Oklahoma,4,R,M,C001053,20344,41,0.629509248,0.520856416,0.738805651,Cole (R OK-4)
Collins,Doug,Georgia,9,R,M,C001093,NA,38,1.207925892,1.006040487,1.418627568,Collins (R GA-9)
Collins,Chris,New York,27,R,M,C001092,NA,26,0.73174597,0.616000405,0.86872618,Collins (R NY-27)
Conaway,K.,Texas,11,R,M,C001062,20531,14,1.1148481,0.940307167,1.299008774,Conaway (R TX-11)
Connolly,Gerald,Virginia,11,D,M,C001078,NA,12,-0.891565946,-1.011700084,-0.758934771,Connolly (D VA-11)
Conyers Jr.,John,Michigan,13,D,M,C000714,10713,41,-1.466669389,-1.689512276,-1.230680935,Conyers Jr. (D MI-13)
Cook,Paul,California,8,R,M,C001094,NA,12,0.677118283,0.563903011,0.810053231,Cook (R CA-8)
Cooper,Jim,Tennessee,5,D,M,C000754,15018,20,-0.561349647,-0.651263569,-0.478833436,Cooper (D TN-5)
Costa,Jim,California,16,D,M,C001059,20501,51,-0.271273818,-0.342726296,-0.197884586,Costa (D CA-16)
Cotton,Tom,Arkansas,4,R,M,C001095,NA,8,1.056790754,0.891362054,1.227635253,Cotton (R AR-4)
Courtney,Joe,Connecticut,2,D,M,C001069,20706,31,-0.911169925,-1.038486098,-0.779660483,Courtney (D CT-2)
Cramer,Kevin,North Dakota,1,R,M,C001096,NA,37,0.64577208,0.519348158,0.758428912,Cramer (R ND-1)
Crawford,Rick,Arkansas,1,R,M,C001087,NA,53,0.777015884,0.638612039,0.907721226,Crawford (R AR-1)
Crenshaw,Ander,Florida,4,R,M,C001045,20111,33,0.655820738,0.542472069,0.785017471,Crenshaw (R FL-4)
Crowley,Joseph,New York,14,D,M,C001038,29925,16,-1.321296518,-1.520828174,-1.122272539,Crowley (D NY-14)
Cuellar,Henry,Texas,28,D,M,C001063,20533,4,-0.324304122,-0.399034406,-0.252365728,Cuellar (D TX-28)
Culberson,John,Texas,7,R,M,C001048,20139,105,0.916946039,0.758515828,1.070305923,Culberson (R TX-7)
Cummings,Elijah,Maryland,7,D,M,C000984,29587,28,-1.404708302,-1.633878144,-1.180314261,Cummings (D MD-7)
Daines,Steve,Montana,1,R,M,D000618,NA,13,0.908119255,0.769882756,1.067038285,Daines (R MT-1)
Davis,Susan,California,53,D,F,D000598,20108,26,-1.152368926,-1.330264581,-0.989762596,Davis (D CA-53)
Davis,Danny,Illinois,7,D,M,D000096,29717,53,-1.182599752,-1.3797606,-1.007184813,Davis (D IL-7)
Davis,Rodney,Illinois,13,R,M,D000619,NA,20,0.613982206,0.500996054,0.723074166,Davis (R IL-13)
DeFazio,Peter,Oregon,4,D,M,D000191,15409,26,-0.907460409,-1.039459323,-0.79152536,DeFazio (D OR-4)
DeGette,Diana,Colorado,1,D,F,D000197,29710,54,-1.295565805,-1.510181603,-1.101974771,DeGette (D CO-1)
DeLauro,Rosa,Connecticut,3,D,F,D000216,15813,42,-1.24262002,-1.417593401,-1.028007363,DeLauro (D CT-3)
DeSantis,Ron,Florida,6,R,M,D000621,NA,6,1.093517909,0.917533276,1.279503339,DeSantis (R FL-6)
DelBene,Suzan,Washington,1,D,F,D000617,NA,12,-0.736333081,-0.839122902,-0.634914371,DelBene (D WA-1)
Delaney,John,Maryland,6,D,M,D000620,NA,16,-0.756077034,-0.85382278,-0.648570471,Delaney (D MD-6)
Denham,Jeffrey,California,10,R,M,D000612,NA,7,0.601141428,0.489902553,0.708986104,Denham (R CA-10)
Dent,Charlie,Pennsylvania,15,R,M,D000604,20526,5,0.503218832,0.395479118,0.593654285,Dent (R PA-15)
DesJarlais,Scott,Tennessee,4,R,M,D000616,NA,18,1.050611832,0.878609335,1.224659825,DesJarlais (R TN-4)
Deutch,Ted,Florida,21,D,M,D000610,NA,30,-1.093756287,-1.261738587,-0.936193895,Deutch (D FL-21)
Diaz-Balart,Mario,Florida,25,R,M,D000600,20316,62,0.557947672,0.44536544,0.660565117,Diaz-Balart (R FL-25)
Dingell,John,Michigan,12,D,M,D000355,2605,60,-0.968070248,-1.1080802,-0.831243999,Dingell (D MI-12)
Doggett,Lloyd,Texas,35,D,M,D000399,29571,19,-0.977603068,-1.110853875,-0.84011698,Doggett (D TX-35)
Doyle,Mike,Pennsylvania,14,D,M,D000482,29561,42,-1.180052102,-1.35956417,-1.007093882,Doyle (D PA-14)
Duckworth,Tammy,Illinois,8,D,F,D000622,NA,28,-0.677845145,-0.778295281,-0.582730643,Duckworth (D IL-8)
Duffy,Sean,Wisconsin,7,R,M,D000614,NA,24,0.851103418,0.713872291,0.992425933,Duffy (R WI-7)
Duncan,Jeffrey,South Carolina,3,R,M,D000615,NA,4,1.424594134,1.200406191,1.635639181,Duncan (R SC-3)
Duncan Jr.,John,Tennessee,2,R,M,D000533,15604,10,0.476412221,0.381711993,0.568990202,Duncan Jr. (R TN-2)
Edwards,Donna,Maryland,4,D,F,E000290,NA,32,-1.693679893,-1.938861095,-1.395304507,Edwards (D MD-4)
Ellison,Keith,Minnesota,5,D,M,E000288,20727,35,-1.450226126,-1.669658522,-1.225295667,Ellison (D MN-5)
Ellmers,Renee,North Carolina,2,R,F,E000291,NA,18,0.820488752,0.677223995,0.957880221,Ellmers (R NC-2)
Emerson,Jo Ann,Missouri,8,R,F,E000172,29736,778,0.661635893,0.148291227,1.212147073,Emerson (R MO-8)
Engel,Eliot,New York,16,D,M,E000179,15605,51,-1.255118847,-1.460102305,-1.061409064,Engel (D NY-16)
Enyart,Bill,Illinois,12,D,M,E000292,NA,20,-0.57205807,-0.657050183,-0.480825758,Enyart (D IL-12)
Eshoo,Anna,California,18,D,F,E000215,29312,22,-1.118199938,-1.275471062,-0.952466873,Eshoo (D CA-18)
Esty,Elizabeth,Connecticut,5,D,F,E000293,NA,15,-0.896509975,-1.028638939,-0.775785902,Esty (D CT-5)
Farenthold,Blake,Texas,27,R,M,F000460,NA,3,0.919479901,0.765271372,1.075114848,Farenthold (R TX-27)
Farr,Sam,California,20,D,M,F000030,29313,42,-1.475997404,-1.716594048,-1.241865476,Farr (D CA-20)
Fattah,Chaka,Pennsylvania,2,D,M,F000043,29559,38,-1.323846709,-1.540738189,-1.107984813,Fattah (D PA-2)
Fincher,Stephen,Tennessee,8,R,M,F000458,NA,47,1.044479737,0.877025835,1.218553266,Fincher (R TN-8)
Fitzpatrick,Michael,Pennsylvania,8,R,M,F000451,20524,10,0.330420094,0.249054366,0.408622179,Fitzpatrick (R PA-8)
Fleischmann,Chuck,Tennessee,3,R,M,F000459,NA,12,1.021746592,0.869239,1.206980525,Fleischmann (R TN-3)
Fleming,John,Louisiana,4,R,M,F000456,NA,5,1.171212912,0.977871749,1.363824328,Fleming (R LA-4)
Flores,Bill,Texas,17,R,M,F000461,NA,20,1.319069968,1.094277685,1.547562272,Flores (R TX-17)
Forbes,J.,Virginia,4,R,M,F000445,20143,24,0.741600814,0.619222512,0.871978982,Forbes (R VA-4)
Fortenberry,Jeff,Nebraska,1,R,M,F000449,20518,27,0.594941744,0.471686567,0.700694787,Fortenberry (R NE-1)
Foster,Bill,Illinois,11,D,M,F000454,NA,9,-0.609480372,-0.702778959,-0.522400908,Foster (D IL-11)
Foxx,Virginia,North Carolina,5,R,F,F000450,20521,6,1.23042388,1.030579323,1.448722208,Foxx (R NC-5)
Frankel,Lois,Florida,22,D,F,F000462,NA,35,-1.161557241,-1.337588826,-0.990120894,Frankel (D FL-22)
Franks,Trent,Arizona,8,R,M,F000448,20304,50,1.36839086,1.127013108,1.597905203,Franks (R AZ-8)
Frelinghuysen,Rodney,New Jersey,11,R,M,F000372,29541,8,0.528418755,0.427223081,0.627184986,Frelinghuysen (R NJ-11)
Fudge,Marcia,Ohio,11,D,F,F000455,NA,45,-1.116732062,-1.279430886,-0.947736261,Fudge (D OH-11)
Gabbard,Tulsi,Hawaii,2,D,F,G000571,NA,46,-0.696732433,-0.797848395,-0.601546013,Gabbard (D HI-2)
Gallego,Pete,Texas,23,D,M,G000572,NA,19,-0.381265307,-0.459842222,-0.30888511,Gallego (D TX-23)
Garamendi,John,California,3,D,M,G000559,NA,18,-0.728691946,-0.825289322,-0.621229339,Garamendi (D CA-3)
Garcia,Joe,Florida,26,D,M,G000573,NA,37,-0.501983842,-0.587874717,-0.41413094,Garcia (D FL-26)
Gardner,Cory,Colorado,4,R,M,G000562,NA,19,0.861010021,0.71374243,0.99988768,Gardner (R CO-4)
Garrett,Scott,New Jersey,5,R,M,G000548,20336,13,1.028859728,0.870705575,1.203908508,Garrett (R NJ-5)
Gerlach,Jim,Pennsylvania,6,R,M,G000549,20345,21,0.51132469,0.407013081,0.614872005,Gerlach (R PA-6)
Gibbs,Bob,Ohio,7,R,M,G000563,NA,15,0.877734695,0.737201123,1.036199502,Gibbs (R OH-7)
Gibson,Chris,New York,19,R,M,G000564,NA,10,0.194188543,0.121003298,0.265606985,Gibson (R NY-19)
Gingrey,Phil,Georgia,11,R,M,G000550,20319,65,0.943377839,0.790115238,1.096162539,Gingrey (R GA-11)
Gohmert,Louie,Texas,1,R,M,G000552,20527,82,0.81049479,0.672768496,0.943458855,Gohmert (R TX-1)
Goodlatte,Robert,Virginia,6,R,M,G000289,39308,14,1.007854718,0.851988143,1.182092724,Goodlatte (R VA-6)
Gosar,Paul,Arizona,4,R,M,G000565,NA,146,0.991543465,0.820510151,1.168078822,Gosar (R AZ-4)
Gowdy,Trey,South Carolina,4,R,M,G000566,NA,19,1.328160227,1.111774192,1.569095183,Gowdy (R SC-4)
Granger,Kay,Texas,12,R,F,G000377,29762,36,0.936632464,0.783032552,1.109220325,Granger (R TX-12)
Graves,Tom,Georgia,14,R,M,G000560,NA,12,1.255292453,1.038034656,1.460058606,Graves (R GA-14)
Graves,Sam,Missouri,6,R,M,G000546,20124,44,0.928051735,0.761655433,1.080830723,Graves (R MO-6)
Grayson,Alan,Florida,9,D,M,G000556,NA,28,-1.15771057,-1.323176524,-0.996824339,Grayson (D FL-9)
Green,Gene,Texas,29,D,M,G000410,39304,44,-0.489987332,-0.572597253,-0.40711288,Green (D TX-29)
Green,Al,Texas,9,D,M,G000553,20529,38,-0.817133751,-0.927144676,-0.701285116,Green (D TX-9)
Griffin,Tim,Arkansas,2,R,M,G000567,NA,4,0.816500124,0.678367479,0.962250554,Griffin (R AR-2)
Griffith,Morgan,Virginia,9,R,M,G000568,NA,5,0.632590479,0.519996284,0.744520007,Griffith (R VA-9)
Grijalva,Raul,Arizona,3,D,M,G000551,20305,97,-1.29647327,-1.499103021,-1.08870156,Grijalva (D AZ-3)
Grimm,Mike,New York,11,R,M,G000569,NA,60,0.389655521,0.306627785,0.473752591,Grimm (R NY-11)
Guthrie,Brett,Kentucky,2,R,M,G000558,NA,15,0.924853799,0.775675148,1.088207008,Guthrie (R KY-2)
Gutierrez,Luis,Illinois,4,D,M,G000535,29348,138,-1.162796118,-1.364100086,-0.994144655,Gutierrez (D IL-4)
Hahn,Janice,California,44,D,F,H001063,NA,6,-1.255078996,-1.443269469,-1.059062698,Hahn (D CA-44)
Hall,Ralph,Texas,4,R,M,H000067,14828,14,0.968863012,0.808173984,1.124752312,Hall (R TX-4)
Hanabusa,Colleen,Hawaii,1,D,F,H001050,NA,21,-0.986140273,-1.124289828,-0.838986751,Hanabusa (D HI-1)
Hanna,Richard,New York,22,R,M,H001051,NA,39,0.383845318,0.29821548,0.468503234,Hanna (R NY-22)
Harper,Gregg,Mississippi,3,R,M,H001045,NA,9,0.644312947,0.532235783,0.760983805,Harper (R MS-3)
Harris,Andy,Maryland,1,R,M,H001052,NA,9,1.08480097,0.906886237,1.262526785,Harris (R MD-1)
Hartzler,Vicky,Missouri,4,R,F,H001053,NA,17,0.959599966,0.80150312,1.119845049,Hartzler (R MO-4)
Hastings,Alcee,Florida,20,D,M,H000324,29337,69,-1.449005434,-1.691877967,-1.204733839,Hastings (D FL-20)
Hastings,Doc,Washington,4,R,M,H000329,29580,19,0.734115351,0.591772882,0.853339116,Hastings (R WA-4)
Heck,Denny,Washington,10,D,M,H001064,NA,22,-0.913690404,-1.042153404,-0.78506036,Heck (D WA-10)
Heck,Joe,Nevada,3,R,M,H001055,NA,13,0.570196608,0.459844018,0.674497334,Heck (R NV-3)
Hensarling,Jeb,Texas,5,R,M,H001036,20352,9,1.289546874,1.061674763,1.531551934,Hensarling (R TX-5)
Herrera Beutler,Jaime,Washington,3,R,F,H001056,NA,316,0.48829386,0.387294154,0.601175778,Herrera Beutler (R WA-3)
Higgins,Brian,New York,26,D,M,H001038,20519,68,-1.220737043,-1.409407625,-1.024158466,Higgins (D NY-26)
Himes,Jim,Connecticut,4,D,M,H001047,NA,22,-0.773436488,-0.881320351,-0.663138142,Himes (D CT-4)
Hinojosa,Ruben,Texas,15,D,M,H000636,29763,123,-0.744464173,-0.858476917,-0.643646308,Hinojosa (D TX-15)
Holding,George,North Carolina,13,R,M,H001065,NA,17,1.369899594,1.134834463,1.589725486,Holding (R NC-13)
Holt,Rush,New Jersey,12,D,M,H001032,29923,140,-1.965687417,-2.323981729,-1.583369098,Holt (D NJ-12)
Honda,Michael,California,17,D,M,H001034,20103,66,-1.528810744,-1.777011833,-1.273566046,Honda (D CA-17)
Horsford,Steven,Nevada,4,D,M,H001066,NA,150,-0.825458004,-0.952088387,-0.707403214,Horsford (D NV-4)
Hoyer,Steny,Maryland,5,D,M,H000874,14873,46,-0.993041359,-1.129561592,-0.851273853,Hoyer (D MD-5)
Hudson,Richard,North Carolina,8,R,M,H001067,NA,22,1.404198086,1.177017021,1.656128558,Hudson (R NC-8)
Huelskamp,Tim,Kansas,1,R,M,H001057,NA,13,0.801927795,0.669575884,0.929841469,Huelskamp (R KS-1)
Huffman,Jared,California,2,D,M,H001068,NA,26,-1.186156192,-1.350918062,-1.008217266,Huffman (D CA-2)
Huizenga,Bill,Michigan,2,R,M,H001058,NA,8,1.138331656,0.939464749,1.33289929,Huizenga (R MI-2)
Hultgren,Randy,Illinois,14,R,M,H001059,NA,14,1.067436584,0.885337366,1.249950454,Hultgren (R IL-14)
Hunter,Duncan,California,50,R,M,H001048,NA,70,0.927136298,0.752442035,1.096202011,Hunter (R CA-50)
Hurt,Robert,Virginia,5,R,M,H001060,NA,15,1.036577698,0.860682174,1.205937573,Hurt (R VA-5)
Israel,Steve,New York,3,D,M,I000057,20129,15,-0.999629227,-1.13658093,-0.857641025,Israel (D NY-3)
Issa,Darrell,California,49,R,M,I000056,20107,12,0.7548124,0.632661193,0.890219643,Issa (R CA-49)
Jackson-Lee,Sheila,Texas,18,D,F,J000032,29573,55,-1.023876275,-1.169520315,-0.876521138,Jackson-Lee (D TX-18)
Jeffries,Hakeem,New York,8,D,M,J000294,NA,32,-1.295706867,-1.522849079,-1.098081021,Jeffries (D NY-8)
Jenkins,Lynn,Kansas,2,R,F,J000290,NA,4,0.848308225,0.702419106,0.986231025,Jenkins (R KS-2)
Johnson,Hank,Georgia,4,D,M,J000288,20712,41,-1.098723232,-1.261009102,-0.937343584,Johnson (D GA-4)
Johnson,Eddie,Texas,30,D,F,J000126,39305,21,-1.105700087,-1.270977138,-0.942170397,Johnson (D TX-30)
Johnson,Bill,Ohio,6,R,M,J000292,NA,4,0.937199462,0.782032314,1.108997046,Johnson (R OH-6)
Johnson,Sam,Texas,3,R,M,J000174,15843,54,1.053144558,0.884501432,1.241367854,Johnson (R TX-3)
Jolly,David,Florida,13,R,M,J000296,,765,1.342399321,0.187554932,3.232655013,Jolly (R FL-13)
Jones,Walter,North Carolina,3,R,M,J000255,29546,95,0.19852937,0.129803683,0.27191559,Jones (R NC-3)
Jordan,Jim,Ohio,4,R,M,J000289,20738,14,1.240474621,1.034931022,1.452250732,Jordan (R OH-4)
Joyce,Dave,Ohio,14,R,M,J000295,NA,10,0.531781157,0.426415825,0.636351279,Joyce (R OH-14)
Kaptur,Marcy,Ohio,9,D,F,K000009,15028,30,-0.874639837,-0.998835381,-0.758153837,Kaptur (D OH-9)
Keating,Bill,Massachusetts,9,D,M,K000375,NA,27,-0.901991807,-1.026690733,-0.78041974,Keating (D MA-9)
Kelly,Robin,Illinois,2,D,F,K000385,,103,-1.15671809,-1.340406142,-0.973388865,Kelly (D IL-2)
Kelly,Mike,Pennsylvania,3,R,M,K000376,NA,7,0.820808324,0.680603333,0.966345034,Kelly (R PA-3)
Kennedy III,Joseph,Massachusetts,4,D,M,K000379,NA,19,-1.489239654,-1.739364269,-1.244603352,Kennedy III (D MA-4)
Kildee,Dan,Michigan,5,D,M,K000380,NA,7,-1.128240813,-1.282738025,-0.95610432,Kildee (D MI-5)
Kilmer,Derek,Washington,6,D,M,K000381,NA,4,-0.7715348,-0.874773353,-0.655913602,Kilmer (D WA-6)
Kind,Ron,Wisconsin,3,D,M,K000188,29769,29,-0.744003292,-0.859789834,-0.646973559,Kind (D WI-3)
King,Steve,Iowa,4,R,M,K000362,20325,24,0.913411442,0.755802229,1.048166389,King (R IA-4)
King,Peter,New York,2,R,M,K000210,29375,20,0.385306526,0.300920262,0.472850455,King (R NY-2)
Kingston,Jack,Georgia,1,R,M,K000220,29338,56,1.225294426,1.016150488,1.441052125,Kingston (R GA-1)
Kinzinger,Adam,Illinois,16,R,M,K000378,NA,6,0.707001452,0.582120994,0.835988779,Kinzinger (R IL-16)
Kirkpatrick,Ann,Arizona,1,D,F,K000368,NA,53,-0.519537926,-0.605827681,-0.436617291,Kirkpatrick (D AZ-1)
Kline,John,Minnesota,2,R,M,K000363,20333,7,0.86462242,0.713806523,1.003368892,Kline (R MN-2)
Kuster,Ann,New Hampshire,2,D,F,K000382,NA,16,-0.797411388,-0.917616905,-0.694951103,Kuster (D NH-2)
LaMalfa,Doug,California,1,R,M,L000578,NA,10,1.006354461,0.829202026,1.175991261,LaMalfa (R CA-1)
Labrador,Raul,Idaho,1,R,M,L000573,NA,38,1.048542553,0.876580088,1.213191165,Labrador (R ID-1)
Lamborn,Doug,Colorado,5,R,M,L000564,20704,17,1.112783478,0.931873882,1.291008625,Lamborn (R CO-5)
Lance,Leonard,New Jersey,7,R,M,L000567,NA,3,0.487859382,0.391959655,0.581337491,Lance (R NJ-7)
Langevin,Jim,Rhode Island,2,D,M,L000559,20136,28,-1.001013436,-1.150541022,-0.842765686,Langevin (D RI-2)
Lankford,James,Oklahoma,5,R,M,L000575,NA,10,1.009755739,0.851268171,1.176751045,Lankford (R OK-5)
Larsen,Rick,Washington,2,D,M,L000560,20145,60,-0.872744426,-0.99994634,-0.750479814,Larsen (D WA-2)
Larson,John,Connecticut,1,D,M,L000557,29908,23,-1.114928969,-1.278861108,-0.950007048,Larson (D CT-1)
Latham,Tom,Iowa,3,R,M,L000111,29522,11,0.623685133,0.506090179,0.738175038,Latham (R IA-3)
Latta,Robert,Ohio,5,R,M,L000566,99998,6,1.137200617,0.945526533,1.33915069,Latta (R OH-5)
Lee,Barbara,California,13,D,F,L000551,29778,37,-1.534691473,-1.777438007,-1.269956467,Lee (D CA-13)
Levin,Sander,Michigan,9,D,M,L000263,15032,6,-1.185527526,-1.363475993,-0.996628817,Levin (D MI-9)
Lewis,John,Georgia,5,D,M,L000287,15430,80,-1.544470742,-1.800943874,-1.316816715,Lewis (D GA-5)
Lipinski,Daniel,Illinois,3,D,M,L000563,20508,29,-0.503844086,-0.586283249,-0.421932528,Lipinski (D IL-3)
LoBiondo,Frank,New Jersey,2,R,M,L000554,29539,7,0.37010096,0.284441964,0.451637627,LoBiondo (R NJ-2)
Loebsack,Dave,Iowa,2,D,M,L000565,20720,12,-0.657894917,-0.759606387,-0.563369791,Loebsack (D IA-2)
Lofgren,Zoe,California,19,D,F,L000397,29504,15,-1.008620272,-1.144471967,-0.860979364,Lofgren (D CA-19)
Long,Billy,Missouri,7,R,M,L000576,NA,3,1.129608453,0.948229607,1.327934857,Long (R MO-7)
Lowenthal,Alan,California,47,D,M,L000579,NA,13,-1.66702811,-1.950064441,-1.390608718,Lowenthal (D CA-47)
Lowey,Nita,New York,17,D,F,L000480,15614,8,-1.033624998,-1.178641481,-0.880122199,Lowey (D NY-17)
Lucas,Frank,Oklahoma,3,R,M,L000491,29393,23,0.673730173,0.547837147,0.789905444,Lucas (R OK-3)
Luetkemeyer,Blaine,Missouri,3,R,M,L000569,NA,9,0.939854652,0.787767834,1.097743791,Luetkemeyer (R MO-3)
Lujan,Ben,New Mexico,3,D,M,L000570,NA,9,-0.967379354,-1.091646015,-0.83359021,Lujan (D NM-3)
Lujan Grisham,Michelle,New Mexico,1,D,F,L000580,NA,14,-0.812531516,-0.930028525,-0.705682214,Lujan Grisham (D NM-1)
Lummis,Cynthia,Wyoming,1,R,F,L000571,NA,41,0.890898824,0.753287123,1.040983637,Lummis (R WY-1)
Lynch,Stephen,Massachusetts,8,D,M,L000562,20119,94,-0.808731693,-0.914447886,-0.694004454,Lynch (D MA-8)
Maffei,Dan,New York,24,D,M,M001171,NA,13,-0.412039337,-0.490494302,-0.335483105,Maffei (D NY-24)
Maloney,Carolyn,New York,12,D,F,M000087,29379,38,-1.118979417,-1.287593537,-0.958834481,Maloney (D NY-12)
Maloney,Sean,New York,18,D,M,M001185,NA,16,-0.445697976,-0.520912818,-0.365937934,Maloney (D NY-18)
Marchant,Kenny,Texas,24,R,M,M001158,20532,34,1.234080811,1.010998214,1.426680771,Marchant (R TX-24)
Marino,Tom,Pennsylvania,10,R,M,M001179,NA,14,0.757310677,0.629400797,0.891482505,Marino (R PA-10)
Markey,Edward,Massachusetts,5,D,M,M000133,14435,642,-1.516239352,-1.889383466,-1.17849453,Markey (D MA-5)
Massie,Thomas,Kentucky,4,R,M,M001184,NA,5,0.671453988,0.554085363,0.78577637,Massie (R KY-4)
Matheson,Jim,Utah,4,D,M,M001142,20140,6,-0.105086042,-0.174550171,-0.037327947,Matheson (D UT-4)
Matsui,Doris,California,6,D,F,M001163,20538,22,-1.259318438,-1.44190566,-1.07707489,Matsui (D CA-6)
McAllister,Vance,Louisiana,5,R,M,M001192,,617,1.062916252,0.55525217,1.576311478,McAllister (R LA-5)
McCarthy,Carolyn,New York,4,D,F,M000309,29744,585,-0.66477112,-0.82040426,-0.505172693,McCarthy (D NY-4)
McCarthy,Kevin,California,23,R,M,M001165,20703,3,0.699437265,0.579503696,0.823274987,McCarthy (R CA-23)
McCaul,Michael,Texas,10,R,M,M001157,20530,28,0.993162971,0.825971012,1.159558675,McCaul (R TX-10)
McClintock,Tom,California,4,R,M,M001177,NA,11,0.927997197,0.773683066,1.076452874,McClintock (R CA-4)
McCollum,Betty,Minnesota,4,D,F,M001143,20122,16,-0.933947961,-1.061867601,-0.809492212,McCollum (D MN-4)
McDermott,Jim,Washington,7,D,M,M000404,15616,31,-1.807206452,-2.106059824,-1.492300363,McDermott (D WA-7)
McGovern,Jim,Massachusetts,2,D,M,M000312,29729,13,-2.07996091,-2.404484695,-1.739043047,McGovern (D MA-2)
McHenry,Patrick,North Carolina,10,R,M,M001156,20522,28,1.039674441,0.868061105,1.206824994,McHenry (R NC-10)
McIntyre,Mike,North Carolina,7,D,M,M000485,29746,39,-0.147650915,-0.217992779,-0.078523966,McIntyre (D NC-7)
McKeon,Howard,California,25,R,M,M000508,29315,23,0.678084348,0.562672886,0.798436585,McKeon (R CA-25)
McKinley,David,West Virginia,1,R,M,M001180,NA,3,0.597222421,0.48029448,0.704174515,McKinley (R WV-1)
