"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"TX","1","R","M","G000552","20527",93,0.946596341585907,0.824917999504713,1.0648659224716,"Gohmert (R TX-1)",353,"Louie","Gohmert"
"ID","1","R","M","L000573", ,49,0.95582752298479,0.842880331226604,1.08740196418195,"Labrador (R ID-1)",354,"Raul","Labrador"
"AZ","4","R","M","G000565", ,162,0.960003598660715,0.844857881220512,1.09826896653749,"Gosar (R AZ-4)",355,"Paul","Gosar"
"MN","6","R","F","B001256","20728",84,0.961869813636167,0.837531713009293,1.09568528871705,"Bachmann (R MN-6)",356,"Michele","Bachmann"
"WY","1","R","F","L000571", ,43,0.965679524090839,0.838915456368403,1.09164010551132,"Lummis (R WY-1)",357,"Cynthia","Lummis"
"MS","1","R","M","N000186", ,246,0.967229979777927,0.820901669110802,1.11973969046549,"Nunnelee (R MS-1)",358,"Alan","Nunnelee"
"UT","3","R","M","C001076", ,78,0.974237413349581,0.843274765772809,1.09729092633667,"Chaffetz (R UT-3)",359,"Jason","Chaffetz"
"PA","16","R","M","P000373","29752",23,0.976555473033621,0.848086459259614,1.09623201325875,"Pitts (R PA-16)",360,"Joe","Pitts"
"VA","6","R","M","G000289","39308",17,0.981601001451449,0.856369470779808,1.11595136734837,"Goodlatte (R VA-6)",361,"Robert","Goodlatte"
"KS","3","R","M","Y000063", ,14,0.983707477735521,0.862092571411448,1.11555565856105,"Yoder (R KS-3)",362,"Kevin","Yoder"
"FL","19","R","M","R000596", ,521,0.987089837397366,0.820518847540362,1.14560807354519,"Radel (R FL-19)",363,"Trey","Radel"
"NE","3","R","M","S001172","20729",18,0.991700632567003,0.85758483417371,1.12451571302849,"Smith (R NE-3)",364,"Adrian","Smith"
"IL","14","R","M","H001059", ,16,0.9937932205757,0.86422349082622,1.11767114708155,"Hultgren (R IL-14)",365,"Randy","Hultgren"
"TX","10","R","M","M001157","20530",28,0.997405371675596,0.87200159822488,1.12879091878502,"McCaul (R TX-10)",366,"Michael","McCaul"
"WI","1","R","M","R000570","29939",6,0.997908055302977,0.872606284470158,1.11599936199721,"Ryan (R WI-1)",367,"Paul","Ryan"
"CA","39","R","M","R000487","29321",28,0.998166584486834,0.862384741506391,1.13032737804168,"Royce (R CA-39)",368,"Ed","Royce"
"GA","11","R","M","G000550","20319",123,1.0004988092432,0.866406056666508,1.13641447392892,"Gingrey (R GA-11)",369,"Phil","Gingrey"
"SC","7","R","M","R000597", ,26,1.00703716756762,0.878806403022116,1.13989079613143,"Rice (R SC-7)",370,"Tom","Rice"
"OK","2","R","M","M001190", ,27,1.00809116248179,0.876488965691099,1.14369992631698,"Mullin (R OK-2)",371,"Markwayne","Mullin"
"CA","4","R","M","M001177", ,13,1.01221127894684,0.874701909943385,1.13589827499417,"McClintock (R CA-4)",372,"Tom","McClintock"
"TX","21","R","M","S000583","15445",25,1.01935595096988,0.894000669534762,1.1558371264171,"Smith (R TX-21)",373,"Lamar","Smith"
"NJ","5","R","M","G000548","20336",16,1.02024387047622,0.872265820283772,1.14093275516248,"Garrett (R NJ-5)",374,"Scott","Garrett"
"VA","5","R","M","H001060", ,32,1.03405616631975,0.906691936406085,1.16492610316693,"Hurt (R VA-5)",375,"Robert","Hurt"
"FL","3","R","M","Y000065", ,10,1.03501187053647,0.896518406866194,1.16683103940057,"Yoho (R FL-3)",376,"Ted","Yoho"
"MI","11","R","M","B001280", ,9,1.0440051418584,0.923432556580144,1.18968436676274,"Bentivolio (R MI-11)",377,"Kerry","Bentivolio"
"GA","7","R","M","W000810", ,16,1.05250122799626,0.923785641213634,1.18872294765761,"Woodall (R GA-7)",378,"Rob","Woodall"
"OH","2","R","M","W000815", ,15,1.05485303111065,0.925263249376919,1.19782798595345,"Wenstrup (R OH-2)",379,"Brad","Wenstrup"
"FL","1","R","M","M001144","20110",58,1.05658068833628,0.914655311764406,1.18873095462057,"Miller (R FL-1)",380,"Jeff","Miller"
"TN","8","R","M","F000458", ,56,1.05783873821231,0.918346665531023,1.18915761811279,"Fincher (R TN-8)",381,"Stephen","Fincher"
"AZ","5","R","M","S000018","29500",39,1.05905002258124,0.927218676602307,1.20000133611147,"Salmon (R AZ-5)",382,"Matt","Salmon"
