"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"CA","44","D","F","H001063", ,8,-1.27137931888803,-1.44661165708192,-1.10553527973853,"Hahn (D CA-44)",48,"Janice","Hahn"
"NY","20","D","M","T000469", ,7,-1.26571205041921,-1.43983737054788,-1.10830506534629,"Tonko (D NY-20)",49,"Paul","Tonko"
"IL","7","D","M","D000096","29717",77,-1.26238771947018,-1.43634419565227,-1.09312468742679,"Davis (D IL-7)",50,"Danny","Davis"
"IL","4","D","M","G000535","29348",204,-1.25306171333423,-1.42452153823577,-1.08994927304173,"Gutierrez (D IL-4)",51,"Luis","Gutierrez"
"MD","8","D","M","V000128","20330",18,-1.25169755254034,-1.41912454988688,-1.08798750780446,"Van Hollen (D MD-8)",52,"Chris","Van Hollen"
"IL","2","D","F","K000385","21371",111,-1.25075375286132,-1.42199877822151,-1.07975799700841,"Kelly (D IL-2)",53,"Robin","Kelly"
"OR","1","D","F","B001278", ,5,-1.24710875535562,-1.41037506459067,-1.08021909828913,"Bonamici (D OR-1)",54,"Suzanne","Bonamici"
"CA","2","D","M","H001068", ,36,-1.24475655655749,-1.41985940964195,-1.09414386761718,"Huffman (D CA-2)",55,"Jared","Huffman"
"OH","3","D","F","B001281", ,26,-1.24237473619724,-1.39873016247663,-1.06842643163607,"Beatty (D OH-3)",56,"Joyce","Beatty"
"OR","3","D","M","B000574","29588",63,-1.24118558179285,-1.40768070078242,-1.08303200586425,"Blumenauer (D OR-3)",57,"Earl","Blumenauer"
"FL","14","D","F","C001066","20708",54,-1.24088590046914,-1.41250224924293,-1.07795907306229,"Castor (D FL-14)",58,"Kathy","Castor"
"MA","7","D","M","C001037","29919",46,-1.23857668580329,-1.40141032575065,-1.08061727644337,"Capuano (D MA-7)",59,"Michael","Capuano"
"PA","2","D","M","F000043","29559",50,-1.23810870418452,-1.40334120076368,-1.07789146643449,"Fattah (D PA-2)",60,"Chaka","Fattah"
"NC","12","D","M","W000207","29383",511,-1.22891543033482,-1.4209242543278,-1.02598450156832,"Watt (D NC-12)",61,"Melvin","Watt"
"OH","11","D","F","F000455", ,64,-1.22301457526464,-1.38008117727643,-1.0661843824199,"Fudge (D OH-11)",62,"Marcia","Fudge"
"TN","9","D","M","C001068","20748",28,-1.21602320792265,-1.37449046659742,-1.05767144650488,"Cohen (D TN-9)",63,"Steve","Cohen"
"CT","3","D","F","D000216","29109",44,-1.20312050256986,-1.35957187295065,-1.03663603452785,"DeLauro (D CT-3)",64,"Rosa","DeLauro"
"NY","5","D","M","M001137","29776",83,-1.18796422384185,-1.33515139053864,-1.02535688560895,"Meeks (D NY-5)",65,"Gregory","Meeks"
"CA","18","D","F","E000215","29312",33,-1.18020428154063,-1.3476906367653,-1.02498438277636,"Eshoo (D CA-18)",66,"Anna","Eshoo"
"MA","3","D","F","T000465","20754",55,-1.17971375954166,-1.33990270887953,-1.02441795313956,"Tsongas (D MA-3)",67,"Niki","Tsongas"
"PA","17","D","M","C001090", ,11,-1.17966408962419,-1.34860476035916,-1.03651581478575,"Cartwright (D PA-17)",68,"Matt","Cartwright"
"GA","4","D","M","J000288","20712",66,-1.17878158262494,-1.33454767284825,-1.03443163160696,"Johnson (D GA-4)",69,"Hank","Johnson"
"PA","1","D","M","B001227","29777",23,-1.17854257562779,-1.33539150635578,-1.02969429948,"Brady (D PA-1)",70,"Robert","Brady"
"MI","5","D","M","K000380", ,7,-1.17203358151203,-1.32916664109451,-1.01888956355028,"Kildee (D MI-5)",71,"Dan","Kildee"
"NJ","8","D","M","S001165","20542",94,-1.16420128232609,-1.30802148849853,-1.00999172373342,"Sires (D NJ-8)",72,"Albio","Sires"
"MI","9","D","M","L000263","15033",6,-1.16315806676411,-1.3086416942376,-1.01043992058259,"Levin (D MI-9)",73,"Sander","Levin"
"NY","26","D","M","H001038","20519",69,-1.16144415959435,-1.3168409206994,-1.0096756336365,"Higgins (D NY-26)",74,"Brian","Higgins"
"KY","3","D","M","Y000062","20723",50,-1.15763333307304,-1.31679313419256,-1.02157715529572,"Yarmuth (D KY-3)",75,"John","Yarmuth"
"NJ","9","D","M","P000096","29741",36,-1.15748643713804,-1.30967644663979,-1.00702448097213,"Pascrell Jr. (D NJ-9)",76,"Bill","Pascrell Jr."
"FL","22","D","F","F000462", ,38,-1.15544530078773,-1.32404289699349,-1.0089162625361,"Frankel (D FL-22)",77,"Lois","Frankel"
"CA","28","D","M","S001150","20104",17,-1.15364722557782,-1.31814072969541,-1.00860581669946,"Schiff (D CA-28)",78,"Adam","Schiff"
"NY","25","D","F","S000480","15444",101,-1.15287037990772,-1.30758948595134,-0.99780897125809,"Slaughter (D NY-25)",79,"Louise","Slaughter"
"IL","1","D","M","R000515","29346",460,-1.14491226809101,-1.31281488614932,-0.986861643186766,"Rush (D IL-1)",80,"Bobby","Rush"
"FL","21","D","M","D000610", ,47,-1.1418704110142,-1.27991861621829,-0.991234176780631,"Deutch (D FL-21)",81,"Ted","Deutch"
"NY","16","D","M","E000179","15603",53,-1.13355968283282,-1.29097582085342,-0.984576764745131,"Engel (D NY-16)",82,"Eliot","Engel"
"PA","14","D","M","D000482","29561",57,-1.13182711806703,-1.29098396467571,-1.00045634510263,"Doyle (D PA-14)",83,"Mike","Doyle"
"CA","5","D","M","T000460","29901",20,-1.13077171098072,-1.29000247102639,-0.990477276989787,"Thompson (D CA-5)",84,"Mike","Thompson"
"VT","1","D","M","W000800","20750",19,-1.12763889978556,-1.27346222112894,-0.985922354444011,"Welch (D VT-1)",85,"Peter","Welch"
"VA","3","D","M","S000185","39307",18,-1.12707295529979,-1.27253357473217,-0.975435935187505,"Scott (D VA-3)",86,"Robert","Scott"
"NC","4","D","M","P000523","15438",5,-1.12675517976528,-1.26914254227992,-0.987544514913254,"Price (D NC-4)",87,"David","Price"
"NY","13","D","M","R000053","13035",193,-1.12666148117706,-1.27692514811675,-0.970539760142744,"Rangel (D NY-13)",88,"Charles","Rangel"
"CA","53","D","F","D000598","20108",33,-1.12177691708968,-1.27121061407017,-0.970237882411175,"Davis (D CA-53)",89,"Susan","Davis"
"MO","1","D","M","C001049","20147",78,-1.113751371621,-1.26968422485058,-0.977183649132698,"Clay (D MO-1)",90,"William","Clay"
"TX","30","D","F","J000126","39305",31,-1.09822540397279,-1.24702298809321,-0.966415879426975,"Johnson (D TX-30)",91,"Eddie","Johnson"
"MO","5","D","M","C001061","20517",123,-1.09368884293468,-1.24174673024271,-0.96016354593197,"Cleaver II (D MO-5)",92,"Emanuel","Cleaver II"
"NY","6","D","F","M001188", ,67,-1.07568569006155,-1.22606177787537,-0.940168741667908,"Meng (D NY-6)",93,"Grace","Meng"
"TX","16","D","M","O000170", ,7,-1.07069917733209,-1.22207020766215,-0.942674822013631,"O'Rourke (D TX-16)",94,"Beto","O'Rourke"
"NY","12","D","F","M000087","21344",46,-1.0674961427597,-1.20662019029934,-0.932281320542395,"Maloney (D NY-12)",95,"Carolyn","Maloney"
"CA","35","D","F","N000187", ,140,-1.05181401314093,-1.20027460538063,-0.911097288611445,"Negrete McLeod (D CA-35)",96,"Gloria","Negrete McLeod"
"IL","5","D","M","Q000023", ,37,-1.04984032688325,-1.18846104933115,-0.919062904512813,"Quigley (D IL-5)",97,"Mike","Quigley"
"CT","1","D","M","L000557","29908",30,-1.04549953958532,-1.17826499220151,-0.905224572444044,"Larson (D CT-1)",98,"John","Larson"
"NY","17","D","F","L000480","15612",12,-1.0433838525345,-1.17809470931923,-0.905814184261367,"Lowey (D NY-17)",99,"Nita","Lowey"
"FL","5","D","F","B000911","29328",68,-1.04168845740727,-1.16883993526461,-0.903361984464229,"Brown (D FL-5)",100,"Corrine","Brown"
"PA","13","D","F","S001162","20525",215,-1.03796133949261,-1.18425270850319,-0.899359453833115,"Schwartz (D PA-13)",101,"Allyson","Schwartz"
"MA","6","D","M","T000266","29730",29,-1.0319147470494,-1.159260244883,-0.90873263227108,"Tierney (D MA-6)",102,"John","Tierney"
"TX","35","D","M","D000399","29571",21,-1.03173477458734,-1.17573237438571,-0.905005578564413,"Doggett (D TX-35)",103,"Lloyd","Doggett"
"CA","24","D","F","C001036","29774",15,-1.01407912064479,-1.15030652810567,-0.890429308576296,"Capps (D CA-24)",104,"Lois","Capps"
"HI","1","D","F","H001050", ,138,-1.00736842069413,-1.14294944688882,-0.871153076391409,"Hanabusa (D HI-1)",105,"Colleen","Hanabusa"
"MI","12","D","M","D000355","2605",96,-1.007138778516,-1.13878732294616,-0.86956269921506,"Dingell (D MI-12)",106,"John","Dingell"
"RI","2","D","M","L000559","20136",29,-1.00257490939108,-1.14988446747168,-0.882902632828467,"Langevin (D RI-2)",107,"Jim","Langevin"
"CA","19","D","F","L000397","29504",18,-0.994414447033255,-1.1325723373454,-0.873769946016892,"Lofgren (D CA-19)",108,"Zoe","Lofgren"
"MD","5","D","M","H000874","14873",57,-0.993467004230798,-1.12037243341778,-0.864971881475504,"Hoyer (D MD-5)",109,"Steny","Hoyer"
"FL","23","D","F","W000797","20504",85,-0.987711938539169,-1.11464377618851,-0.860618322600163,"Wasserman Schultz (D FL-23)",110,"Debbie","Wasserman Schultz"
"FL","9","D","M","G000556", ,38,-0.987037213929337,-1.10531539877655,-0.857198827504091,"Grayson (D FL-9)",111,"Alan","Grayson"
"MN","4","D","F","M001143","20122",36,-0.982194410902226,-1.10314361436765,-0.859348826252088,"McCollum (D MN-4)",112,"Betty","McCollum"
"MS","2","D","M","T000193","29368",54,-0.980244148400689,-1.10834601325711,-0.849838173219783,"Thompson (D MS-2)",113,"Bennie","Thompson"
"NJ","1","D","M","A000210","29132",430,-0.977572084344511,-1.13257065719196,-0.848406489683965,"Andrews (D NJ-1)",114,"Robert","Andrews"
"IN","7","D","M","C001072", ,22,-0.975060833783872,-1.09675579899622,-0.84933180011283,"Carson (D IN-7)",115,"André","Carson"
"AZ","7","D","M","P000099","29101",140,-0.972708699828261,-1.10661353617869,-0.849717822676452,"Pastor (D AZ-7)",116,"Ed","Pastor"
"SC","6","D","M","C000537","39301",65,-0.972580496397722,-1.10433315220152,-0.852936239550652,"Clyburn (D SC-6)",117,"James","Clyburn"
"WA","9","D","M","S000510","29768",105,-0.964896596944048,-1.08545769406753,-0.83471016652207,"Smith (D WA-9)",118,"Adam","Smith"
"NM","3","D","M","L000570", ,17,-0.964607830346838,-1.09237361128558,-0.846914681145423,"Lujan (D NM-3)",119,"Ben","Lujan"
"OH","9","D","F","K000009","15029",44,-0.956906025989256,-1.08056578217781,-0.83742718800801,"Kaptur (D OH-9)",120,"Marcy","Kaptur"
"CA","15","D","M","S001193", ,9,-0.956150463569415,-1.07701977223165,-0.823923988589138,"Swalwell (D CA-15)",121,"Eric","Swalwell"
"NY","3","D","M","I000057","20129",21,-0.954138903573897,-1.08025108099914,-0.836166638842044,"Israel (D NY-3)",122,"Steve","Israel"
"TX","20","D","M","C001091", ,43,-0.950853833142687,-1.07494765304353,-0.831003006537889,"Castro (D TX-20)",123,"Joaquin","Castro"
"TX","18","D","F","J000032","29573",89,-0.940631490504166,-1.07141477576483,-0.825338441838258,"Jackson-Lee (D TX-18)",124,"Sheila","Jackson-Lee"
"NV","1","D","F","T000468", ,7,-0.938559562605921,-1.0548369308161,-0.816849627697608,"Titus (D NV-1)",125,"Dina","Titus"
"NC","1","D","M","B001251","20340",55,-0.935904090067297,-1.06321753343576,-0.821054269315146,"Butterfield (D NC-1)",126,"G.","Butterfield"
"WA","10","D","M","H001064", ,45,-0.924500813213427,-1.05087435964017,-0.812378897680356,"Heck (D WA-10)",127,"Denny","Heck"
"MA","9","D","M","K000375", ,35,-0.920061915603158,-1.05058630498782,-0.813179323105698,"Keating (D MA-9)",128,"Bill","Keating"
"CA","51","D","M","V000130", ,26,-0.919506676818814,-1.03637777777259,-0.806400605782678,"Vargas (D CA-51)",129,"Juan","Vargas"
"OR","4","D","M","D000191","15410",32,-0.918142398897865,-1.04237231514122,-0.807808891895692,"DeFazio (D OR-4)",130,"Peter","DeFazio"
"TX","33","D","M","V000131", ,16,-0.901700683851794,-1.01542281823198,-0.782409930615833,"Veasey (D TX-33)",131,"Marc","Veasey"
"VA","8","D","M","M000933","29149",57,-0.898689072251825,-1.01078157672501,-0.781811152650796,"Moran (D VA-8)",132,"James","Moran"
"CT","2","D","M","C001069","20706",31,-0.896056379905545,-1.02057508077027,-0.77763229014993,"Courtney (D CT-2)",133,"Joe","Courtney"
"CA","30","D","M","S000344","29707",14,-0.893543795672425,-1.01166142122849,-0.77877589296542,"Sherman (D CA-30)",134,"Brad","Sherman"
"VA","11","D","M","C001078", ,13,-0.876049289798171,-0.987219174064695,-0.75973407111553,"Connolly (D VA-11)",135,"Gerald","Connolly"
"CA","29","D","M","C001097", ,67,-0.875551529214198,-0.989492211519269,-0.758090090597693,"Cardenas (D CA-29)",136,"Tony","Cardenas"
"WA","2","D","M","L000560","20145",70,-0.872646178527667,-0.985974112596699,-0.75216282407439,"Larsen (D WA-2)",137,"Rick","Larsen"
"NH","1","D","F","S001170","20731",42,-0.87207254394084,-0.983640917343337,-0.754078472312315,"Shea-Porter (D NH-1)",138,"Carol","Shea-Porter"
"NV","4","D","M","H001066", ,161,-0.869990915132288,-0.986818736098181,-0.754664737927234,"Horsford (D NV-4)",139,"Steven","Horsford"
"NY","1","D","M","B001242","20338",10,-0.867583640219649,-0.981322075017234,-0.760362092218916,"Bishop (D NY-1)",140,"Timothy","Bishop"
"IN","1","D","M","V000108","15124",38,-0.859097463681666,-0.973927710634827,-0.753609797470426,"Visclosky (D IN-1)",141,"Peter","Visclosky"
"CT","5","D","F","E000293", ,23,-0.854941981220921,-0.971950125499817,-0.746670192524726,"Esty (D CT-5)",142,"Elizabeth","Esty"
"TX","9","D","M","G000553","20529",71,-0.83532727830642,-0.939191645922565,-0.722821374375117,"Green (D TX-9)",143,"Al","Green"
"MA","8","D","M","L000562","20119",111,-0.832483524766426,-0.944808626433135,-0.733553743663519,"Lynch (D MA-8)",144,"Stephen","Lynch"
"MN","8","D","M","N000127","14263",27,-0.829410055280657,-0.9294920742366,-0.713429726395622,"Nolan (D MN-8)",145,"Rick","Nolan"
"CA","46","D","F","S000030","29709",81,-0.824801167117307,-0.936254522184255,-0.717570423527818,"Sanchez (D CA-46)",146,"Loretta","Sanchez"
"LA","2","D","M","R000588", ,174,-0.824661669127183,-0.933782113893372,-0.715371414043758,"Richmond (D LA-2)",147,"Cedric","Richmond"
"OH","13","D","M","R000577","20343",76,-0.823413083560616,-0.938441957375591,-0.72867772340479,"Ryan (D OH-13)",148,"Tim","Ryan"
"GA","13","D","M","S001157","20321",47,-0.799512257482561,-0.900119528809383,-0.69482498642532,"Scott (D GA-13)",149,"David","Scott"
"CA","9","D","M","M001166","20702",21,-0.795856987526332,-0.902086535394416,-0.690280295327081,"McNerney (D CA-9)",150,"Jerry","McNerney"
"DE","1","D","M","C001083", ,71,-0.792799543870832,-0.894641215786951,-0.68423178202571,"Carney (D DE-1)",151,"John","Carney"
"ME","2","D","M","M001149","20328",10,-0.788875983055848,-0.898621025387369,-0.688191849578265,"Michaud (D ME-2)",152,"Michael","Michaud"
"MD","2","D","M","R000576","20329",71,-0.778367529388407,-0.880650957799177,-0.67066858252925,"Ruppersberger (D MD-2)",153,"C.A. Dutch","Ruppersberger"
"WA","6","D","M","K000381", ,18,-0.777022137770986,-0.884017916345834,-0.672776824485509,"Kilmer (D WA-6)",154,"Derek","Kilmer"
"NM","1","D","F","L000580", ,39,-0.773701708105974,-0.877257526700314,-0.666373013335676,"Lujan Grisham (D NM-1)",155,"Michelle","Lujan Grisham"
"CT","4","D","M","H001047", ,23,-0.764305855958433,-0.864336016489646,-0.667207172087552,"Himes (D CT-4)",156,"Jim","Himes"
"AL","7","D","F","S001185", ,25,-0.755654188309873,-0.858969445561552,-0.653189370767303,"Sewell (D AL-7)",157,"Terri","Sewell"
"TX","15","D","M","H000636","29763",151,-0.740638276670666,-0.841561534696552,-0.640437514027612,"Hinojosa (D TX-15)",158,"Rubén","Hinojosa"
"MD","6","D","M","D000620", ,28,-0.737519071390466,-0.841290541758743,-0.636511217333257,"Delaney (D MD-6)",159,"John","Delaney"
"NY","4","D","F","M000309","29744",668,-0.735621818018187,-0.85894492570446,-0.60367937429414,"McCarthy (D NY-4)",160,"Carolyn","McCarthy"
"NH","2","D","F","K000382", ,16,-0.734740569218047,-0.844708132176598,-0.638834853934832,"Kuster (D NH-2)",161,"Ann","Kuster"
"WI","3","D","M","K000188","29769",36,-0.73412591646582,-0.833066484448689,-0.630030630354406,"Kind (D WI-3)",162,"Ron","Kind"
"WA","1","D","F","D000617", ,13,-0.727113635758492,-0.831660908707855,-0.631679376557683,"DelBene (D WA-1)",163,"Suzan","DelBene"
"CA","26","D","F","B001285", ,8,-0.71665231733164,-0.819805706676413,-0.62307908132508,"Brownley (D CA-26)",164,"Julia","Brownley"
"IA","1","D","M","B001259","20719",29,-0.703421615443374,-0.799542140603072,-0.60064796012069,"Braley (D IA-1)",165,"Bruce","Braley"
"HI","2","D","F","G000571", ,49,-0.69900460894865,-0.801524242473969,-0.605646542262219,"Gabbard (D HI-2)",166,"Tulsi","Gabbard"
"CA","3","D","M","G000559", ,30,-0.698323390166161,-0.794433339121193,-0.605107394497949,"Garamendi (D CA-3)",167,"John","Garamendi"
"IL","8","D","F","D000622", ,33,-0.67617541256884,-0.773449712213405,-0.579108439960532,"Duckworth (D IL-8)",168,"Tammy","Duckworth"
"CO","2","D","M","P000598", ,109,-0.655955057511676,-0.754708915399511,-0.564080493573075,"Polis (D CO-2)",169,"Jared","Polis"
"IA","2","D","M","L000565","20720",16,-0.645425519702258,-0.739726006317766,-0.556739199616767,"Loebsack (D IA-2)",170,"Dave","Loebsack"
"CO","7","D","M","P000593","20705",65,-0.643613306291031,-0.740830681316221,-0.553362596781061,"Perlmutter (D CO-7)",171,"Ed","Perlmutter"
"IL","11","D","M","F000454", ,17,-0.632291455672352,-0.723595640976242,-0.54420566776029,"Foster (D IL-11)",172,"Bill","Foster"
"MN","1","D","M","W000799","20726",30,-0.618046111272231,-0.719854983665183,-0.531811939120426,"Walz (D MN-1)",173,"Tim","Walz"
"MI","14","D","M","P000595", ,42,-0.603583986573771,-0.694704587487333,-0.519234633719038,"Peters (D MI-14)",174,"Gary","Peters"
"CA","7","D","M","B001287", ,9,-0.560263834957062,-0.644968643510584,-0.46926512532825,"Bera (D CA-7)",175,"Ami","Bera"
"IL","10","D","M","S001190", ,26,-0.55744834537248,-0.650314125435247,-0.470605414404807,"Schneider (D IL-10)",176,"Brad","Schneider"
"IL","12","D","M","E000292", ,31,-0.548924218151929,-0.635195153377737,-0.460450964148717,"Enyart (D IL-12)",177,"Bill","Enyart"
"AZ","1","D","F","K000368", ,93,-0.542422578250222,-0.635574782403794,-0.454625194541018,"Kirkpatrick (D AZ-1)",178,"Ann","Kirkpatrick"
"IL","17","D","F","B001286", ,23,-0.533676993776432,-0.628619677712874,-0.45115003596503,"Bustos (D IL-17)",179,"Cheri","Bustos"
"TN","5","D","M","C000754","15019",21,-0.51125153680933,-0.597311011666874,-0.426755565185278,"Cooper (D TN-5)",180,"Jim","Cooper"
"FL","26","D","M","G000573", ,43,-0.495962257749245,-0.582515467443442,-0.417129032507764,"Garcia (D FL-26)",181,"Joe","Garcia"
"CA","36","D","M","R000599", ,40,-0.495168720282408,-0.582286561934056,-0.412232403809787,"Ruiz (D CA-36)",182,"Raul","Ruiz"
"TX","34","D","M","V000132", ,34,-0.476350270781869,-0.558795956396381,-0.394700996871272,"Vela (D TX-34)",183,"Filemon","Vela"
"TX","29","D","M","G000410","39304",54,-0.473491118592677,-0.558404821875222,-0.392601983135468,"Green (D TX-29)",184,"Gene","Green"
"IL","3","D","M","L000563","20508",36,-0.470533933822392,-0.560169478140681,-0.391228631076208,"Lipinski (D IL-3)",185,"Daniel","Lipinski"
"NY","18","D","M","M001185", ,19,-0.465127759595338,-0.546263930327341,-0.381434986817076,"Maloney (D NY-18)",186,"Sean","Maloney"
"CA","52","D","M","P000608", ,15,-0.446127424318846,-0.530156092849688,-0.366484174742123,"Peters (D CA-52)",187,"Scott","Peters"
"GA","2","D","M","B000490","29339",74,-0.443655348546789,-0.533020712032894,-0.369677384193207,"Bishop Jr. (D GA-2)",188,"Sanford","Bishop Jr."
"OR","5","D","M","S001180", ,16,-0.405377584985577,-0.48656063795512,-0.329644802165696,"Schrader (D OR-5)",189,"Kurt","Schrader"
"NY","24","D","M","M001171", ,13,-0.400296556830882,-0.483881959939803,-0.324860432734207,"Maffei (D NY-24)",190,"Dan","Maffei"
"FL","18","D","M","M001191", ,21,-0.374380139635129,-0.459396477267581,-0.300719027295936,"Murphy (D FL-18)",191,"Patrick","Murphy"
"TX","23","D","M","G000572", ,21,-0.368150709427629,-0.447444994750125,-0.291759516004258,"Gallego (D TX-23)",192,"Pete","Gallego"
"AZ","9","D","F","S001191", ,34,-0.342468026010519,-0.42035263440324,-0.268298425669209,"Sinema (D AZ-9)",193,"Kyrsten","Sinema"
"TX","28","D","M","C001063","20533",6,-0.306151366841592,-0.385849264173335,-0.23495311052322,"Cuellar (D TX-28)",194,"Henry","Cuellar"
"WV","3","D","M","R000011","14448",14,-0.287703503152549,-0.36197713587053,-0.215144705225628,"Rahall II (D WV-3)",195,"Nick","Rahall II"
"NY","21","D","M","O000169", ,49,-0.280131557645274,-0.355361180689201,-0.204163718833035,"Owens (D NY-21)",196,"Bill","Owens"
"CA","16","D","M","C001059","20501",62,-0.264275866823214,-0.339146916306755,-0.188438005263266,"Costa (D CA-16)",197,"Jim","Costa"
"AZ","2","D","M","B001279", ,31,-0.258243091686905,-0.332019449868789,-0.18709034748029,"Barber (D AZ-2)",198,"Ron","Barber"
"GA","12","D","M","B001252","20507",3,-0.15367018619817,-0.230531067478147,-0.0860671257109792,"Barrow (D GA-12)",199,"John","Barrow"
"MN","7","D","M","P000258","29127",8,-0.140044603378783,-0.216618436428942,-0.0735381586545708,"Peterson (D MN-7)",200,"Collin","Peterson"
"NC","7","D","M","M000485","29746",52,-0.122987361517376,-0.191433093336068,-0.0513102762390545,"McIntyre (D NC-7)",201,"Mike","McIntyre"
"UT","4","D","M","M001142","20140",8,-0.0967175356543442,-0.170055183082448,-0.0308726016663924,"Matheson (D UT-4)",202,"Jim","Matheson"
"NY","19","R","M","G000564", ,13,0.196988764456969,0.118344485995428,0.264771921939904,"Gibson (R NY-19)",203,"Chris","Gibson"
"NC","3","R","M","J000255","29546",98,0.222635884688951,0.145495625425081,0.293825038644836,"Jones (R NC-3)",204,"Walter","Jones"
"PA","8","R","M","F000451","20524",26,0.342010672963602,0.257876174817895,0.41594087712645,"Fitzpatrick (R PA-8)",205,"Michael","Fitzpatrick"
"NJ","2","R","M","L000554","29539",7,0.371271740101479,0.286389393079145,0.447380420470006,"LoBiondo (R NJ-2)",206,"Frank","LoBiondo"
"NY","22","R","M","H001051", ,93,0.395025815273303,0.310294416944637,0.481005956113652,"Hanna (R NY-22)",207,"Richard","Hanna"
"NY","11","R","M","G000569", ,89,0.413642301867719,0.321904736678483,0.491900409065085,"Grimm (R NY-11)",208,"Mike","Grimm"
"NY","2","R","M","K000210","29375",26,0.41713167182411,0.333129028214815,0.500980170647282,"King (R NY-2)",209,"Peter","King"
"NJ","4","R","M","S000522","14863",28,0.442401045193414,0.349402440620715,0.526083124094332,"Smith (R NJ-4)",210,"Christopher","Smith"
"NJ","3","R","M","R000594", ,73,0.443496621807306,0.355024220738543,0.532477981603799,"Runyan (R NJ-3)",211,"Jon","Runyan"
"WA","8","R","M","R000578","20536",8,0.46144480388588,0.365887804449705,0.545989538272845,"Reichert (R WA-8)",212,"Dave","Reichert"
"FL","13","R","M","J000296","",765,0.475552823912617,0.363157574463448,0.583865130834673,"Jolly (R FL-13)",213,"David","Jolly"
"PA","15","R","M","D000604","20526",8,0.498636495470346,0.409078007605043,0.588369158316762,"Dent (R PA-15)",214,"Charlie","Dent"
"AK","1","R","M","Y000033","14066",96,0.500658677861012,0.40168818968951,0.588534647467658,"Young (R AK-1)",215,"Don","Young"
"PA","7","R","M","M001181", ,10,0.507685627573545,0.419046575211182,0.600642169941068,"Meehan (R PA-7)",216,"Pat","Meehan"
"VA","10","R","M","W000672","14869",25,0.508717046269717,0.412553974769702,0.603679575232529,"Wolf (R VA-10)",217,"Frank","Wolf"
"FL","27","R","F","R000435","15634",74,0.517147067854339,0.42105311014943,0.612516144070456,"Ros-Lehtinen (R FL-27)",218,"Ileana","Ros-Lehtinen"
"FL","25","R","M","D000600","20316",69,0.517215141775568,0.422465195752633,0.611590469277192,"Diaz-Balart (R FL-25)",219,"Mario","Diaz-Balart"
"PA","6","R","M","G000549","20345",28,0.517907108981218,0.423657455427078,0.608431111031962,"Gerlach (R PA-6)",220,"Jim","Gerlach"
"NV","3","R","M","H001055", ,13,0.522099270935648,0.430322453548716,0.614379195762768,"Heck (R NV-3)",221,"Joe","Heck"
"NY","23","R","M","R000585", ,48,0.524701148106196,0.430008615737116,0.620539296400966,"Reed (R NY-23)",222,"Tom","Reed"
"OH","14","R","M","J000295", ,21,0.532989388913384,0.441843573258537,0.630238479720322,"Joyce (R OH-14)",223,"Dave","Joyce"
"CA","21","R","M","V000129", ,9,0.540791303530207,0.441315880319731,0.630155835797395,"Valadao (R CA-21)",224,"David","Valadao"
"WA","3","R","F","H001056", ,320,0.545660408741487,0.440895330236758,0.639015647538926,"Herrera Beutler (R WA-3)",225,"Jaime","Herrera Beutler"
"NJ","11","R","M","F000372","29541",13,0.546601516609969,0.455046580432399,0.642316230188095,"Frelinghuysen (R NJ-11)",226,"Rodney","Frelinghuysen"
"NE","1","R","M","F000449","20518",39,0.554075626766528,0.461819048553662,0.651543415897583,"Fortenberry (R NE-1)",227,"Jeff","Fortenberry"
"TN","2","R","M","D000533","15455",14,0.561817870976932,0.472196204227709,0.651287543637634,"Duncan Jr. (R TN-2)",228,"John","Duncan Jr."
"OH","10","R","M","T000463","20342",11,0.566801005148697,0.463750574345263,0.658703651871698,"Turner (R OH-10)",229,"Michael","Turner"
"WV","1","R","M","M001180", ,3,0.582750783658473,0.478815423468902,0.67871806875862,"McKinley (R WV-1)",230,"David","McKinley"
"IA","3","R","M","L000111","29522",12,0.583440267839365,0.489534202218834,0.685607386292084,"Latham (R IA-3)",231,"Tom","Latham"
"NJ","7","R","M","L000567", ,3,0.58401626706733,0.489181576136563,0.678887293824797,"Lance (R NJ-7)",232,"Leonard","Lance"
"CA","10","R","M","D000612", ,15,0.585050616454989,0.486417785046548,0.683402689429356,"Denham (R CA-10)",233,"Jeffrey","Denham"
"IL","15","R","M","S000364","29718",70,0.589811476839562,0.494268329067036,0.685728204326342,"Shimkus (R IL-15)",234,"John","Shimkus"
"PA","5","R","M","T000467", ,22,0.593414692080458,0.490480998037262,0.690884350129082,"Thompson (R PA-5)",235,"Glenn","Thompson"
"IL","13","R","M","D000619", ,27,0.598597186008002,0.495977418193308,0.687882984420377,"Davis (R IL-13)",236,"Rodney","Davis"
"WV","2","R","F","C001047","20146",50,0.600395177843213,0.494164984816319,0.693696055100641,"Capito (R WV-2)",237,"Shelley","Capito"
"PA","11","R","M","B001269", ,25,0.604508963855232,0.507154617340334,0.70327569315339,"Barletta (R PA-11)",238,"Lou","Barletta"
"LA","5","R","M","A000361","90327",644,0.620279100601438,0.489984009627416,0.743069821189493,"Alexander (R LA-5)",239,"Rodney","Alexander"
"IL","16","R","M","K000378", ,7,0.62056875684631,0.513895210096491,0.715369274883466,"Kinzinger (R IL-16)",240,"Adam","Kinzinger"
"FL","4","R","M","C001045","20111",34,0.63180922871229,0.524604291091804,0.733357957759752,"Crenshaw (R FL-4)",241,"Ander","Crenshaw"
